uci,index
h5h8,931
c8h8,932
h3d3,933
c7c4,934
f3c6,935
d3a6,936
h5a5,937
f4h2,938
d1d3,939
d8d3,940
f3f1,941
e6c5,942
f3h5,943
f4e3,944
h1f1,945
f8h6,946
d4b3,947
g1g8,948
g1h1,949
f8h7,950
h1h6,951
h7g5,952
e6d4,953
d2e3,954
h1h5,955
f8f4,956
g1g6,957
g5h7,958
a8g8,959
e7g7,960
g4h4,961
f1h3,962
b3d2,963
c7c2,964
b4d3,965
e1c2,966
e2e1q,967
e1c3,968
a3b2,969
b2c1,970
c6b8,971
a2a1q,972
d1d7,973
d7d1,974
b7c5,975
d1f1,976
f1c1,977
f3f5,978
f2f1r,979
f4f1,980
e3e6,981
b7d6,982
b5a6,983
e2c2,984
c2b2,985
e3d5,986
b8b1,987
c2c1,988
g6h7,989
b8b5,990
b1b8,991
b8b2,992
e6c8,993
h1d1,994
b5c7,995
c3b1,996
e2c4,997
g5c5,998
b1d3,999
c3e1,1000
f1d2,1001
h1c1,1002
e5c6,1003
b5c3,1004
d4a4,1005
b6c5,1006
a6c5,1007
b7e4,1008
b5d4,1009
e5f3,1010
c5f2,1011
f2b6,1012
c5b3,1013
e5d3,1014
f2d4,1015
e4e7,1016
g5e5,1017
d4f2,1018
c3d1,1019
d5d1,1020
e5c4,1021
d5d7,1022
d7d4,1023
a7b6,1024
g4c8,1025
a8b6,1026
a4b6,1027
b6d4,1028
c2c1b,1029
b1e4,1030
c4d2,1031
c2c1n,1032
c1a2,1033
a2c3,1034
h7c2,1035
a1a2,1036
a2b1,1037
e3c2,1038
c2b4,1039
c2b1q,1040
c4b2,1041
c7d5,1042
c4a3,1043
d5e3,1044
a3b5,1045
f4c4,1046
d2b3,1047
b3d4,1048
f5b1,1049
c5c4,1050
d6a6,1051
a6c8,1052
b2d2,1053
c4f7,1054
f4h4,1055
f7c4,1056
e5e8,1057
a7a8b,1058
a8c6,1059
c4g8,1060
g8b3,1061
g8a2,1062
a2c4,1063
e8g6,1064
a7a8n,1065
g6c6,1066
b3g8,1067
e8g8,1068
a2g8,1069
a5c5,1070
b6b4,1071
f1f3,1072
c1g1,1073
b6e3,1074
g4h2,1075
f3h2,1076
b4f4,1077
b4d6,1078
a4b3,1079
g5d2,1080
c1c8,1081
f6h4,1082
f3c3,1083
d5f3,1084
c3c6,1085
c8c2,1086
f4b8,1087
c2c8,1088
b8a7,1089
f5d4,1090
c5b6,1091
f6d8,1092
a5b3,1093
c5e3,1094
g7e5,1095
h5g7,1096
a8a3,1097
b1b7,1098
d6f8,1099
f8a3,1100
f1h2,1101
e8b8,1102
g3b8,1103
f8b8,1104
b2a2,1105
e7c8,1106
c8d6,1107
g3e5,1108
f3d3,1109
c6a7,1110
a7b5,1111
b1b6,1112
c5a3,1113
d2f1,1114
e2g3,1115
b2a4,1116
a2a1,1117
e5g5,1118
a1c3,1119
a1a4,1120
e5c3,1121
b2c4,1122
a4b2,1123
a4c3,1124
b2d1,1125
d5b4,1126
b4c6,1127
e2f4,1128
b3c5,1129
c6d8,1130
c5d7,1131
e3g5,1132
e3b6,1133
h3e6,1134
a3a5,1135
a5a8,1136
a5b5,1137
b3h3,1138
e8e1,1139
d4f6,1140
g8g4,1141
c1c5,1142
g3g7,1143
e5b2,1144
e4c6,1145
g5h3,1146
a6b8,1147
e2g4,1148
g5e6,1149
d3g6,1150
g4e3,1151
g6e4,1152
g3e2,1153
d1g1,1154
g1g5,1155
d3d7,1156
d7d2,1157
d7b7,1158
e6e4,1159
g5g3,1160
g2h2,1161
c5a6,1162
b5b2,1163
b6c4,1164
c2c1r,1165
f5h6,1166
h6e3,1167
g4c4,1168
b1e1,1169
e7f5,1170
a3c1,1171
g3c3,1172
e8e4,1173
g3e3,1174
f8a8,1175
b8f4,1176
b2f6,1177
a2c2,1178
f4f2,1179
a4c5,1180
f8f3,1181
f5h4,1182
e6d8,1183
h4f3,1184
a7d7,1185
f5g3,1186
b1f5,1187
c5g5,1188
e5e3,1189
a3d6,1190
e5c7,1191
c3g3,1192
a5b7,1193
b5b7,1194
g7e7,1195
c5e5,1196
e5e2,1197
a5c6,1198
c4c6,1199
b6a7,1200
b7f7,1201
b7b8,1202
d7h7,1203
f7h7,1204
c7h7,1205
f2f1q,1206
f1b1,1207
b4c4,1208
c4b4,1209
f1f5,1210
a6a4,1211
d1c3,1212
f1f6,1213
e5b8,1214
d8c6,1215
f3e1,1216
a6c7,1217
a5e1,1218
f4d3,1219
e1g3,1220
b6a4,1221
c6a6,1222
c4a5,1223
c1c7,1224
b5c5,1225
c5c6,1226
b4d5,1227
e6b6,1228
a8c7,1229
f7f3,1230
g4g7,1231
h5h7,1232
h7f7,1233
c7e6,1234
d5c7,1235
h1h3,1236
d8a8,1237
e6e8,1238
c7b8,1239
a6d3,1240
b2d3,1241
a5a3,1242
e2a6,1243
a6a2,1244
a2a5,1245
a3a6,1246
b3b4,1247
b8f8,1248
f3f7,1249
f3a8,1250
c5b7,1251
f3f6,1252
f6b2,1253
a7f7,1254
a7a4,1255
e4c2,1256
h5e2,1257
b7b8q,1258
a8a6,1259
b3b8,1260
c6e6,1261
c1d3,1262
g3d3,1263
d2d5,1264
d5d2,1265
a8e4,1266
g8b8,1267
a8h1,1268
h1c6,1269
a8g2,1270
a6f6,1271
f6c6,1272
e4b7,1273
c7e5,1274
c2c6,1275
b5d6,1276
d6b4,1277
h6d6,1278
d6h6,1279
a1f1,1280
f4f7,1281
f1f7,1282
f4f8,1283
c7a6,1284
c7a8,1285
e3h6,1286
h4g6,1287
e6e1,1288
e3e7,1289
d2e4,1290
h3f3,1291
f1f4,1292
d3g3,1293
b6d7,1294
f8f1,1295
c4h4,1296
b3g3,1297
h4e4,1298
e4c4,1299
d2b4,1300
c4c2,1301
f5c2,1302
c4e4,1303
e4g2,1304
d5g5,1305
d6b8,1306
c3e5,1307
h6d2,1308
b2b1,1309
d3c3,1310
a1a8,1311
f6a6,1312
a4d7,1313
e6c7,1314
d7b8,1315
h4h6,1316
h5e5,1317
a6b6,1318
a7a2,1319
b6b3,1320
f7b7,1321
d4h4,1322
h4d4,1323
f1f8,1324
g7f8n,1325
g7f8q,1326
g6c2,1327
d2g2,1328
g7g8q,1329
e7e8q,1330
g4f6,1331
h1h4,1332
f3h3,1333
e4h7,1334
b8g3,1335
